tbm_node_id,component,local_x_m,local_y_m,local_z_m,normal_x,normal_y,normal_z
191,front_shield,-2.0,3.0258755503199635,2.5390110582618304,0.0,0.766044443118978,0.6427876096865393
192,front_shield,-2.0,2.5390110582618304,3.0258755503199635,0.0,0.6427876096865394,0.766044443118978
193,front_shield,-2.0,1.9750000000000005,3.4208003449485327,0.0,0.5000000000000001,0.8660254037844386
194,front_shield,-2.0,1.350979566136392,3.711785852104338,0.0,0.3420201433256688,0.9396926207859083
195,front_shield,-2.0,0.6859103017843752,3.889990624398222,0.0,0.17364817766693041,0.984807753012208
196,front_shield,-2.0,2.4186774283160225e-16,3.95,0.0,6.123233995736766e-17,1.0
197,front_shield,-2.0,-0.6859103017843747,3.889990624398222,0.0,-0.1736481776669303,0.984807753012208
198,front_shield,-2.0,-1.3509795661363915,3.7117858521043385,0.0,-0.3420201433256687,0.9396926207859084
199,front_shield,-2.0,-1.9749999999999992,3.420800344948533,0.0,-0.4999999999999998,0.8660254037844387
200,front_shield,-2.0,-2.5390110582618304,3.0258755503199635,0.0,-0.6427876096865394,0.766044443118978
201,front_shield,-2.0,-3.025875550319963,2.539011058261831,0.0,-0.7660444431189779,0.6427876096865395
202,front_shield,-2.0,-3.420800344948533,1.9749999999999999,0.0,-0.8660254037844387,0.49999999999999994
203,front_shield,-2.0,-3.711785852104338,1.3509795661363921,0.0,-0.9396926207859083,0.3420201433256689
204,front_shield,-2.0,-3.889990624398222,0.6859103017843763,0.0,-0.984807753012208,0.1736481776669307
205,front_shield,-2.0,-3.95,4.837354856632045e-16,0.0,-1.0,1.2246467991473532e-16
206,front_shield,-2.0,-3.889990624398222,-0.6859103017843736,0.0,-0.9848077530122081,-0.17364817766693003
207,front_shield,-2.0,-3.7117858521043385,-1.3509795661363913,0.0,-0.9396926207859084,-0.34202014332566866
208,front_shield,-2.0,-3.4208003449485336,-1.974999999999999,0.0,-0.8660254037844388,-0.4999999999999997
209,front_shield,-2.0,-3.0258755503199635,-2.5390110582618304,0.0,-0.766044443118978,-0.6427876096865393
210,front_shield,-2.0,-2.539011058261831,-3.025875550319963,0.0,-0.6427876096865395,-0.7660444431189779
211,front_shield,-2.0,-1.9750000000000019,-3.420800344948532,0.0,-0.5000000000000004,-0.8660254037844384
212,front_shield,-2.0,-1.3509795661363941,-3.7117858521043376,0.0,-0.3420201433256694,-0.9396926207859082
213,front_shield,-2.0,-0.6859103017843748,-3.889990624398222,0.0,-0.17364817766693033,-0.984807753012208
214,front_shield,-2.0,-7.256032284948068e-16,-3.95,0.0,-1.8369701987210297e-16,-1.0
215,front_shield,-2.0,0.6859103017843734,-3.889990624398222,0.0,0.17364817766692997,-0.9848077530122081
216,front_shield,-2.0,1.3509795661363893,-3.711785852104339,0.0,0.34202014332566816,-0.9396926207859085
217,front_shield,-2.0,1.9750000000000005,-3.4208003449485327,0.0,0.5000000000000001,-0.8660254037844386
218,front_shield,-2.0,2.5390110582618304,-3.025875550319964,0.0,0.6427876096865393,-0.7660444431189781
219,front_shield,-2.0,3.0258755503199626,-2.5390110582618313,0.0,0.7660444431189778,-0.6427876096865396
220,front_shield,-2.0,3.420800344948532,-1.9750000000000019,0.0,0.8660254037844384,-0.5000000000000004
221,front_shield,-2.0,3.711785852104337,-1.3509795661363944,0.0,0.9396926207859081,-0.34202014332566943
222,front_shield,-2.0,3.889990624398222,-0.6859103017843751,0.0,0.984807753012208,-0.1736481776669304
223,front_shield,-2.5,3.95,0.0,0.0,1.0,0.0
224,front_shield,-2.5,3.889990624398222,0.6859103017843748,0.0,0.984807753012208,0.17364817766693033
225,front_shield,-2.5,3.7117858521043385,1.3509795661363915,0.0,0.9396926207859084,0.3420201433256687
226,front_shield,-2.5,3.420800344948533,1.9749999999999999,0.0,0.8660254037844387,0.49999999999999994
227,front_shield,-2.5,3.0258755503199635,2.5390110582618304,0.0,0.766044443118978,0.6427876096865393
228,front_shield,-2.5,2.5390110582618304,3.0258755503199635,0.0,0.6427876096865394,0.766044443118978
229,front_shield,-2.5,1.9750000000000005,3.4208003449485327,0.0,0.5000000000000001,0.8660254037844386
230,front_shield,-2.5,1.350979566136392,3.711785852104338,0.0,0.3420201433256688,0.9396926207859083
231,front_shield,-2.5,0.6859103017843752,3.889990624398222,0.0,0.17364817766693041,0.984807753012208
232,front_shield,-2.5,2.4186774283160225e-16,3.95,0.0,6.123233995736766e-17,1.0
233,front_shield,-2.5,-0.6859103017843747,3.889990624398222,0.0,-0.1736481776669303,0.984807753012208
234,front_shield,-2.5,-1.3509795661363915,3.7117858521043385,0.0,-0.3420201433256687,0.9396926207859084
235,front_shield,-2.5,-1.9749999999999992,3.420800344948533,0.0,-0.4999999999999998,0.8660254037844387
236,front_shield,-2.5,-2.5390110582618304,3.0258755503199635,0.0,-0.6427876096865394,0.766044443118978
237,front_shield,-2.5,-3.025875550319963,2.539011058261831,0.0,-0.7660444431189779,0.6427876096865395
238,front_shield,-2.5,-3.420800344948533,1.9749999999999999,0.0,-0.8660254037844387,0.49999999999999994
239,front_shield,-2.5,-3.711785852104338,1.3509795661363921,0.0,-0.9396926207859083,0.3420201433256689
240,front_shield,-2.5,-3.889990624398222,0.6859103017843763,0.0,-0.984807753012208,0.1736481776669307
241,front_shield,-2.5,-3.95,4.837354856632045e-16,0.0,-1.0,1.2246467991473532e-16
