chainage,AdvanceRate,RPM,Torque,Thrust,Penetration,ShieldPressure
89.0,54.700137230184815,6.499339215448666,2.6769034387034734,15.445615466188041,15.241057220048466,1.4869048811206005
90.0,54.17931204172717,6.456681368173439,2.7055497904353043,15.826905234941743,14.950865871176495,1.4195783629155998
91.0,54.11764122068041,6.362926228764207,2.7465429404140167,15.61999266235804,15.148362059169935,1.3899076105453916
92.0,54.748071642117935,6.3255076685416665,2.764932753277996,15.77404392248401,15.24230942206457,1.3816086338265245
93.0,54.84685244190716,6.465110188664142,2.7281857631186766,15.636986520939693,15.085460615298594,1.3455460685194958
94.0,54.25474707391149,6.343445001911942,2.6869025067629337,15.78381401837616,15.126997636922354,1.3521936283228628
95.0,54.728691614458796,6.403668522821643,2.6258729992683394,15.647231264522874,15.175358651863215,1.3928363968642816
96.0,53.820472036721426,6.382511172205144,2.5622405817810816,15.62957038321516,15.111893814359686,1.404520545260183
97.0,54.2313709223017,6.456886645666753,2.465358634723253,15.98921736714124,14.72763347223453,1.465224387404278
98.0,53.28758865698082,6.371149315832994,2.405151545043659,16.54263656244475,14.742447524266888,1.5510998659427844
99.0,52.668623604338066,6.508331718044827,2.280737343475748,16.46584968815111,15.03728340791539,1.6316157116236876
100.0,51.33531856988104,6.453444155713418,2.2335338644103393,16.779648210977978,14.793221113072583,1.7306919886387035
101.0,50.96173759667251,6.454261089653074,2.2527027057686193,16.756179235744185,14.525308401389154,1.87867381064448
102.0,50.33675985447148,6.523322754679546,2.1740369408792253,17.189522087312625,14.3242882055828,1.9739423825290914
103.0,48.99655587833708,6.5505562766963745,2.20397734488701,17.039405556149234,14.431865465723208,2.047041866883329
104.0,48.71856983511877,6.615632172876498,2.2569213738109832,17.368522197661107,14.357871399723242,2.077458670379232
105.0,48.938428511969065,6.532792971891121,2.3140870720999884,17.736988971368554,14.169510850210674,2.0606908915226
106.0,49.46380415798448,6.671166073808891,2.3743062446936802,17.082677415075345,14.245533996753535,2.092112722024216
107.0,49.22337006442247,6.509768517120133,2.461332262406488,17.38365322732041,14.159017383084484,2.0944639560196032
108.0,50.30114783936915,6.534524662965799,2.4973302824330466,17.184910930586128,14.471691418625166,2.0122970935652216
109.0,50.32944466995241,6.500871327014199,2.605930411851685,16.997682880255194,14.741115029354635,1.9650353046557465
110.0,51.00645367196999,6.5180103051798515,2.586000611564331,16.86699294819003,14.826189947843265,1.9201114766787486
111.0,50.91438365857433,6.492785779778672,2.595746469597859,16.560766982161184,14.771531547836998,1.8333738851936088
112.0,51.47692535853197,6.501959141958275,2.605275310756826,15.854050294430682,14.967186016216784,1.8031112229371755
113.0,52.44603162594966,6.403229616153147,2.6386278773522926,16.144120239175994,15.30776809555933,1.7489872762179488
114.0,52.433010345675385,6.36364832497566,2.763875949531286,16.64792020223179,14.870581652335416,1.6511226133069
115.0,51.43037827526912,6.264927916250484,2.8666346233498516,17.367500414235714,14.178598305443678,1.5859715269937333
